title,abstract,introduction,journal,field,main_discipline,main_levels,non_main_levels,pdf_url,status
ATLAS-seq: a microfluidic single-cell TCR screen for antigen-reactive TCRs,"Discovering antigen-reactive T cell receptors (TCRs) is central to developing effective engineered T cell immunotherapies. However, the conventional technologies for isolating antigen-reactive TCRs (i.e., major histocompatibility complex (MHC) multimer staining) focus on high-affinity interactions between the TCR and MHC-antigen complex, and may fail to identify TCRs with high efficacy for activating T cells. Here, we develop a microfluidic single-cell screening method for antigen-reactive T cells named ATLAS-seq (Aptamer-based T Lymphocyte Activity Screening and SEQuencing). This technology isolates and characterizes activated T cells via an aptamer-based fluorescent molecular sensor, which monitors the cytotoxic cytokine IFNγ secretion from single T cells upon antigen stimulation, followed by single-cell RNA and single-cell TCR sequencing. We use ATLAS-seq to screen TCRs reactive to cytomegalovirus (CMV) or prostate specific antigen (PSA) from peripheral blood mononuclear cells (PBMCs). ATLAS-seq identifies distinct TCR clonotype populations with higher T cell activation levels compared to TCRs recovered by MHC multimer staining. Select TCR clonotypes from ATLAS-seq are more efficient in target cell killing than those from MHC multimer staining. Collectively, ATLAS-seq provides an efficient and broadly applicable technology to screen antigen-reactive TCRs for engineered T cell immunotherapy. Isolation of antigen-reactive T cell receptors (TCRs) to cancer epitopes is important for engineered T cell immunotherapies. Here the authors show an aptamer-based microfluidic single-cell method to isolate antigen-reactive TCRs and show proof of principle isolations for cytomegalovirus and prostate specific antigen.",,Nature Communications,Medicine|Immunology and Microbiology|Immunology and Microbiology,[[细胞生物学];[细胞生理学]],L1:细胞生物学; L2:细胞生理学,L1:生物工程; L2:细胞工程,https://www.nature.com/articles/s41467-024-54675-3.pdf,
Lipidic folding pathway of α-Synuclein via a toxic oligomer,"Aggregation intermediates play a pivotal role in the assembly of amyloid fibrils, which are central to the pathogenesis of neurodegenerative diseases. The structures of filamentous intermediates and mature fibrils are now efficiently determined by single-particle cryo-electron microscopy. By contrast, smaller pre-fibrillar α-Synuclein (αS) oligomers, crucial for initiating amyloidogenesis, remain largely uncharacterized. We report an atomic-resolution structural characterization of a toxic pre-fibrillar aggregation intermediate (I1) on pathway to the formation of lipidic fibrils, which incorporate lipid molecules on protofilament surfaces during fibril growth on membranes. Super-resolution microscopy reveals a tetrameric state, providing insights into the early oligomeric assembly. Time resolved nuclear magnetic resonance (NMR) measurements uncover a structural reorganization essential for the transition of I1 to mature lipidic L2 fibrils. The reorganization involves the transformation of anti-parallel β-strands during the pre-fibrillar I1 state into a β-arc characteristic of amyloid fibrils. This structural reconfiguration occurs in a conserved structural kernel shared by a vast number of αS-fibril polymorphs including extracted fibrils from Parkinson's and Lewy Body Dementia patients. Consistent with reports of anti-parallel β-strands being a defining feature of toxic αS pre-fibrillar intermediates, I1 impacts viability of neuroblasts and disrupts cell membranes, resulting in an increased calcium influx. Our results integrate the occurrence of anti-parallel β-strands as salient features of toxic oligomers with their significant role in the amyloid fibril assembly pathway. These structural insights have implications for the development of therapies and biomarkers.",,Nature Communications,Medicine|Medicine|Neuroscience,[[生物化学];[脂类生物化学]],L1:生物化学; L2:脂类生物化学; L1:多肽与蛋白质生物化学,L1:生物物理学; L2:分子生物物理学; L1:神经生物学; L2:分子神经生物学; L1:脂类生物化学; L1:膜生物化学,https://www.nature.com/articles/s41467-025-55849-3.pdf,
Association of distinct microbial and metabolic signatures with microscopic colitis,"Microscopic colitis (MC) is a chronic inflammatory disease of the large intestine that primarily affects older adults and presents with chronic diarrhea. The etiology is unknown and there are currently no FDA approved medications or biomarkers for treatment or monitoring of the disease. Emerging evidence have implicated the gut microbiome and metabolome disturbances in MC pathogenesis. We conduct a comprehensive analysis of gut microbial and metabolic changes in a cohort of 683 participants, including 131 patients with active MC, 159 with chronic diarrhea, and 393 age- and sex-matched controls without diarrhea. Stool microbiome and metabolome are profiled using whole-genome shotgun metagenomic sequencing and ultra-high performance liquid chromatography-mass spectrometry, respectively. Compared to controls, eight microbial species including pro-inflammatory oral-typical Veillonella dispar and Haemophilus parainfluenzae, and 11 species, including anti-inflammatory Blautia glucerasea and Bacteroides stercoris are enriched and depleted in MC, respectively. Pro-inflammatory metabolites, including lactosylceramides, ceramides, lysophospholipids, and lysoplasmalogens, are enriched in active MC. Multi-omics analyses reveal robust associations between microbial species, metabolic pathways, and metabolites, suggesting concordant disruptions in MC. Here, we show distinct shifts in gut microbiome and metabolome in MC that can inform the development of non-invasive biomarkers and novel therapeutics.",,Nature Communications,Medicine|Medicine|Health Professions,[[生物学];[微生物学];[生物化学]],L1:生物学; L2:微生物学; L3:生物化学; L1:微生物生态学,L1:临床医学; L2:内科学; L3:消化病学; L1:微生物生理学; L1:微生物免疫学,https://www.nature.com/articles/s41467-025-59566-9.pdf,
A diverse landscape of FGFR alterations and co-mutations suggests potential therapeutic strategies in pediatric low-grade gliomas,"Oncogenic alterations in fibroblast growth factor receptor (FGFR)-family proteins occur across cancers, including pediatric gliomas. Our genomic analysis of 11,635 gliomas across ages finds that 5.3% of all gliomas harbor FGFR alterations, with an incidence of almost 9% in pediatric gliomas. Alterations in FGFR proteins are differentially enriched by age, tumor grade, and histology, with FGFR1 alterations associated with glioneuronal histologies. Leveraging isogenic systems, we confirm FGFR1 alterations to induce downstream Mitogen Activated Protein Kinase (MAPK) and mTOR signaling pathways, drive gliomagenesis, activate neuronal transcriptional programs and exhibit sensitivity to MAPK pathway and pan-FGFR inhibitors. Finally, we perform a retrospective analysis of clinical responses in children diagnosed with FGFR-altered gliomas and find that treatment with currently available inhibitors is largely associated with stability of disease. This study provides key insights into the biology of FGFR1-altered gliomas, therapeutic strategies to target them and associated challenges that still need to be overcome.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology|Immunology and Microbiology",[[生物学];[分子生物学];[神经生物学]],L1:生物学; L2:分子生物学; L3:神经生物学; L1:细胞生物学; L2:细胞生理学,L1:临床医学; L2:肿瘤学; L3:儿科学; L1:遗传学; L2:分子遗传学; L1:神经生物学; L2:分子神经生物学,https://www.nature.com/articles/s41467-025-61820-z.pdf,
Distinct role of claustrum and anterior cingulate cortex bidirectional circuits in methamphetamine taking and seeking,"Methamphetamine (METH) addiction involves escalating intake with strong cue reactivity, and high relapse risk, yet its neural mechanism remains unclear. Using c-Fos mapping and machine learning, we identified the claustrum (CLA), a subcortical region reciprocally connected with the anterior cingulate cortex (ACC), as key mediators of both METH taking and seeking in self-administering male rats. Chemogenetic inhibition of CLA suppressed both drug consumption and cue-induced reinstatement, while ACC inhibition selectively reduced drug-seeking. Circuit tracing and manipulation revealed that the CLA-ACC circuit supported drug-taking, whereas the ACC-CLA circuit was specifically recruited during drug-seeking. Activity-dependent labeling showed that ACC ensembles activated by cues overlapped with those engaged during prior drug use. These findings suggest that CLA drives METH reward through the ACC, while the ACC gains cue salience and feeds back to CLA, reinforcing relapse. Targeting this bidirectional CLA-ACC circuit may provide novel therapeutic strategies for treating METH addiction. Here, authors show both CLA and ACC as key mediators of methamphetamine (METH) use and relapse. Specifically, the CLA → ACC circuit modulates intake, while reciprocal ACC → CLA circuit drive cue-induced relapse, revealing a maladaptive positive feedback loop that perpetuates METH addiction.",,Nature Communications,Neuroscience|Neuroscience|Neuroscience,[[生物学];[神经生物学]],L1:生物学; L2:神经生物学,L1:基础医学; L2:人体生理学,https://www.nature.com/articles/s41467-025-62188-w.pdf,
Longitudinal liquid biopsy identifies an early predictive biomarker of immune checkpoint blockade response in head and neck squamous cell carcinoma,"Abstract Immune checkpoint blockade (ICB) has improved outcomes for patients with head and neck squamous cell carcinoma (HNSCC), but predictive biomarkers remain limited. Here, we use a time-resolved, multi-omic approach in a murine HNSCC model to characterize peripheral immune responses to ICB. Single-cell transcriptomics and T/B cell receptor analyses reveal early on-treatment expansion of effector memory T and B cell repertoires in responders, preceding tumor regression. These dynamic immune features inform a composite transcriptional signature that accurately predicts ICB response in independent human HNSCC cohorts. LiBIO outperforms existing biomarkers and generalizes to melanoma, non-small cell lung cancer, and breast cancer without retraining. These findings suggest that early treatment-induced changes in circulating immune repertoires reflect the host’s capacity to mount an effective antitumor response. This work provides a framework for leveraging transient peripheral immune dynamics to develop non-invasive, high-fidelity biomarkers for response to immunotherapy across cancer types.",,Nature Communications,"Medicine|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[临床医学];[肿瘤学]],L1:临床医学; L2:肿瘤学; L1:生物化学; L2:免疫生物化学,L1:生物学; L2:分子生物学; L3:生物化学; L1:细胞生物学; L2:细胞免疫学,https://www.nature.com/articles/s41467-025-63538-4.pdf,
RAPDOR: Using Jensen-Shannon Distance for the computational analysis of complex proteomics datasets,"Abstract The computational analysis of large proteomics datasets from gradient profiling or spatially resolved proteomics is often as crucial as experimental design. We present RAPDOR, a tool for intuitive analyzing and visualizing such datasets, based on the Jensen-Shannon distance and analysis of similarities between replicates, applied to the identification of RNA-binding proteins (RBPs) and spatial proteomics. First, we examine the in-gradient distribution profiles of protein complexes with or without RNase treatment (GradR) to identify RBPs in the cyanobacterium Synechocystis 6803. RBPs play pivotal regulatory and structural roles. Although numerous RBPs are well characterized, the complete set of RBPs remains unknown for any species. RAPDOR identifies 165 potential RBPs, including ribosomal proteins, RNA-modifying enzymes, and proteins not previously associated with RNA binding. High-ranking putative RBPs, such as ribosome hibernation factor LrtA/RaiA, phosphoglucomutase Sll0726, antitoxin Ssl2245, and preQ(1) synthase QueF predicted by RAPDOR but not the TriPepSVM algorithm, are experimentally validated, indicating the existence of uncharacterized RBP domains. These data are available online, providing a resource for RNase-sensitive protein complexes in cyanobacteria. We then show by reanalyzing existing datasets that RAPDOR effectively examines the intracellular redistribution of proteins upon growth factor stimulation. RAPDOR is a generic, non-parametric tool for analyzing highly complex datasets.",,Nature Communications,"Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology|Biochemistry, Genetics and Molecular Biology",[[生物学];[生物化学];[分子生物学]],L1:生物学; L2:生物化学; L3:分子生物学; L1:生物化学; L2:多肽与蛋白质生物化学; L1:多肽与蛋白质生物化学,L1:计算机科学技术; L2:人工智能; L3:计算机应用; L1:生物物理学; L2:生物信息论与生物控制论; L1:分子生物学; L1:核酸生物化学,https://www.nature.com/articles/s41467-025-64086-7.pdf,
The systemic lupus erythematosus-associated NCF190H allele synergizes with viral infection to cause mouse lupus but also limits virus spread,"Abstract Studying how single nucleotide polymorphisms (SNPs) crosstalk with non-autologous factors to cause complex autoimmune diseases is challenging. An amino acid replacement in the neutrophil cytosolic factor 1 ( NCF1 -339/ NCF1 R90H ) leading to lower reactive oxygen species induction has been reported as the major SNP for systemic lupus erythematosus (SLE). Here we show that infection with the murine norovirus (MNV) contributes to the induction of lupus in Ncf1 90H mice. Mutant NCF1 90H upregulates the IFN-α/JAK1/STAT1 pathway in macrophages and anti-MNV-antibody production. In parallel, the MNV infection of NCF1 90H mice upregulates Toll-like receptor 7 in macrophages, plasmacytoid dendritic cells and B220 + splenocytes, thereby promoting germinal center formation and lupus-associated autoantibodies production. These compounded effects lead to protection against MNV infection but also glomeruloneph ritis with proteinuria and lupus arthritis in the absence of chemical inducers such as pristane. Our data thus suggest that this SLE-associated SNP, NCF1 90H , synergizes with MNV infection to induce the development of mouse lupus.",,Nature Communications,Medicine|Immunology and Microbiology|Medicine,Unknown,,,https://www.nature.com/articles/s41467-025-56857-z.pdf,
One Health approach uncovers emergence and dynamics of Usutu and West Nile viruses in the Netherlands,"Mosquito-borne arboviruses, including Usutu virus (USUV) and West Nile virus (WNV), are emerging threats in Europe, with changes in climate, land use shifts, and increasing global connectivity influencing their dynamics. Understanding how these viruses emerge and establish in new regions is critical for mitigating risks and improving public and wildlife health preparedness. Here, we present a seven-year study (2016-2022, inclusive) documenting the emergence and spread of USUV and WNV in the Netherlands. We established a nationwide sampling framework integrating live birds sampling by volunteer ringers, dead birds referrals by citizen scientists and zoos, and mosquito trapping. Samples were analyzed using molecular, genomic, and serological methods. USUV was first detected in the Netherlands in 2016, caused major outbreaks in birds until 2018 and resurged in 2022. The dominant, enzootic lineage, Africa 3, co-circulated with sporadic introductions of lineage Europe 3. The first localized WNV lineage 2 outbreak occurred in live birds and mosquitoes in 2020, followed by a detection in a bird in 2022 and serological evidence of continued circulation, suggesting WNV is in an early stage of establishment. Our findings were crucial in detecting a human WNV outbreak, underscoring the value of integrated wildlife studies in detecting emerging threats to public health.",,Nature Communications,Medicine|Medicine|Medicine,[[生物学];[生态学];[病毒学]],L1:生物学; L2:生态学; L3:病毒学; L1:病毒学,L1:预防医学与卫生学; L2:流行病学; L3:传染病学; L1:生态学; L1:动物学,https://www.nature.com/articles/s41467-025-63122-w.pdf,
"Vitamin D supplementation ameliorates ductular reaction, liver inflammation and fibrosis in mice by upregulating TXNIP in ductular cells","Ductular reaction is associated with liver disease progression, but there are no drugs targeting ductular reaction. Vitamin D deficiency is common in chronic liver diseases and related to disease progression, but the underlying mechanisms by which vitamin D regulates liver diseases progression remain unclear. Here, we show that vitamin D plasma levels are negatively correlated with the degree of ductular reaction in patients with chronic liver diseases. 1,25(OH)2D3, the active form of vitamin D, reduces 3,5-diethoxycarbonyl-1,4-dihydrocollidin (DDC)-induced ductular reaction, liver inflammation, and fibrosis in female mice and upregulates the vitamin D target gene, TXNIP (encoding thioredoxin-interacting protein), in ductular cells. Cholangiocyte-specific Txnip-knockout female mice are more susceptible to DDC-induced ductular reaction, inflammation, and fibrosis. Deletion of Txnip in cholangiocytes promotes proliferation and suppressed death. Furthermore, Txnip deficiency increases TNF-α and TGF-β secretion by cholangiocytes to stimulate Kupffer cells and hepatic stellate cells, consequently leading to inflammation and collagen deposition. Biliary Txnip deficiency abolishes the protective effects of vitamin D, and TXNIP overexpression attenuates DDC-induced ductular reaction and inflammation and fibrosis. Collectively, our findings identify new mechanism how vitamin D ameliorates liver diseases and suggest that the vitamin D/TXNIP axis is a therapeutic target for addressing ductular reaction and liver diseases.",,Nature Communications,"Medicine|Nursing|Biochemistry, Genetics and Molecular Biology",[[生物化学]],L1:生物化学,L1:细胞生物学; L1:生理学; L1:分子生物学,https://www.nature.com/articles/s41467-025-59724-z.pdf,
