model,method_name,prompt_level,paper_id,query,journal,publication_date,publication_year,field,fwci,cited_by_count,doi,issn_l,source_type,hypotheses_count,hypotheses_text,status,error
claude-3-5-haiku-20241022,claude-3-5-haiku-20241022-L1,L1,f4465d25f7c9,如何通过单原子催化剂设计突破类芬顿催化中活性与稳定性的权衡？,Nature Communications,2025-01-02,2025,Electrocatalysts for Energy Conversion,93.87822721,96,https://doi.org/10.1038/s41467-024-55622-y,2041-1723,journal,0,,error,"LLM 网关错误 (HTTP 503): Error code: 503 - {'error': {'message': '当前分组 企业用户 下对于模型 claude-3-5-haiku-20241022 计费模式 [按量计费] 无可用渠道 (request id: 2026041316334516716775788432572)', 'type': 'shell_api_error'}}"
claude-3-5-sonnet-20241022,claude-3-5-sonnet-20241022-L1,L1,f4465d25f7c9,如何通过单原子催化剂设计突破类芬顿催化中活性与稳定性的权衡？,Nature Communications,2025-01-02,2025,Electrocatalysts for Energy Conversion,93.87822721,96,https://doi.org/10.1038/s41467-024-55622-y,2041-1723,journal,0,,error,"LLM 网关错误 (HTTP 503): Error code: 503 - {'error': {'message': '当前分组 企业用户 下对于模型 claude-3-5-sonnet-20241022 计费模式 [按量计费] 无可用渠道 (request id: 2026041316342183126257377630762)', 'type': 'shell_api_error'}}"
deepseek-v3,deepseek-v3-L1,L1,f4465d25f7c9,如何通过单原子催化剂设计突破类芬顿催化中活性与稳定性的权衡？,Nature Communications,2025-01-02,2025,Electrocatalysts for Energy Conversion,93.87822721,96,https://doi.org/10.1038/s41467-024-55622-y,2041-1723,journal,1,"[L1] 单原子钴位点与纳米岛封装结构的协同作用可同时提升催化活性和稳定性
- 关键实体：Co单原子、碳基纳米岛封装结构
- 作用关系：纳米岛物理限域保护单原子位点
- 预期机制：空间限制减少金属浸出，同时维持单原子高本征活性

[L2] 纳米岛封装层可调控单原子位点的局部电子结构
- 关键实体：石墨化碳壳层、Co-N4配位结构
- 作用关系：界面电荷转移增强氧化还原能力
- 预期机制：优化H2O2活化能垒与·OH生成动力学

[L3] 分级孔隙结构可解决传质限制与活性位暴露的矛盾
- 关键实体：介孔-微孔复合载体
- 作用关系：大孔道促进底物扩散，微孔稳定单原子
- 预期机制：实现高周转频率与长循环寿命的协同",ok,
deepseek-v3,deepseek-v3-L1,L1,b5d9e2f1eeaf,如何提升中红外光电探测器的探测率与响应速度至理论极限？,Nature Communications,2025-01-10,2025,Advanced Semiconductor Detectors and Materials,163.74682493,81,https://doi.org/10.1038/s41467-025-55887-x,2041-1723,journal,1,"[L1] 假设1：通过构建垂直传输通道的范德瓦尔斯异质结构，可以同时优化载流子分离效率与输运速度，从而实现接近理论极限的探测率和响应速度。  
关键实体：范德瓦尔斯异质结构（如BP/MoS₂）、垂直传输通道  
作用关系：界面内建电场增强载流子分离，垂直输运减少散射路径  
预期机制：缩短载流子渡越时间，降低复合损耗  

[L2] 假设2：在异质结中引入梯度带隙材料（如WSe₂-xSx合金），可通过能带工程扩展光谱响应范围并抑制暗电流。  
关键实体：梯度带隙材料、中红外吸收层  
作用关系：带隙梯度形成内建电场，拓宽有效吸收波长  
预期机制：提升探测率（D*）至Jones量级，同时保持亚纳秒响应  

[L3] 假设3：通过原子级调控异质结界面缺陷态（如硫空位钝化），可突破传统噪声限制。  
关键实体：界面缺陷态、表面钝化层（如h-BN）  
作用关系：缺陷钝化降低陷阱辅助隧穿噪声  
预期机制：实现背景限探测（BLIP）性能，响应速度达RC时间常数极限",ok,
deepseek-v3,deepseek-v3-L1,L1,49822610b620,如何通过高模量隔膜设计解决锌枝晶问题,Nature Communications,2025-01-25,2025,Advanced battery technologies research,163.74682493,81,https://doi.org/10.1038/s41467-025-56325-8,2041-1723,journal,1,"[L1] 高模量隔膜通过机械抑制锌枝晶生长  
- 关键实体：高模量隔膜（弹性模量>5GPa）、锌枝晶  
- 作用关系：物理屏障作用限制锌沉积形貌  
- 预期机制：隔膜的高刚性可抵抗锌枝晶穿刺力（>0.5MPa），迫使锌沿二维方向均匀沉积  

[L2] 仿生结构设计增强离子筛分能力  
- 关键实体：梯度多孔结构（10-100nm）、Zn²⁺溶剂化鞘  
- 作用关系：选择性离子传输调控沉积动力学  
- 预期机制：仿生血管状孔道（表层10nm/底层100nm）可剥离溶剂化分子，提高Zn²⁺迁移数至>0.8  

[L3] 生物降解材料界面稳定化效应  
- 关键实体：聚乳酸基隔膜、Zn/电解质界面  
- 作用关系：原位形成有机-无机杂化SEI层  
- 预期机制：材料降解产物（乳酸锌）参与构建含ZnCO₃的复合界面层，将析氢过电位提升≥200mV",ok,
deepseek-v3,deepseek-v3-L1,L1,3e2570ebbc22,如何构建基于深度学习的多模态框架来评估电池健康状态？,Nature Communications,2025-01-29,2025,Advanced Battery Technologies Research,156.77105282,72,https://doi.org/10.1038/s41467-025-56485-7,2041-1723,journal,1,"[L1] 多模态数据融合假设  
1. 关键实体：电压/电流时序数据（电气模态） + 热成像数据（热模态） + 充电行为日志（操作模态）  
2. 作用关系：通过跨模态注意力机制建立时序-空间-操作特征的动态权重分配  
3. 预期机制：三模态联合训练比单模态提升SOH预测精度15%以上（MAE指标）  

[L2] 退化模式解耦假设  
1. 关键实体：容量衰减模式（化学老化） + 内阻增长模式（机械老化）  
2. 作用关系：设计双分支神经网络分别捕捉不同退化模式的敏感特征  
3. 预期机制：解耦后的特征空间可使循环寿命预测误差降低20%（RMSE指标）  

[L3] 迁移学习泛化假设  
1. 关键实体：源领域（实验室数据） + 目标领域（真实EV运行数据）  
2. 作用关系：通过对抗域适应对齐不同充放电工况下的特征分布  
3. 预期机制：跨数据集测试时模型性能下降幅度控制在5%以内（F1-score指标）",ok,
deepseek-v3,deepseek-v3-L1,L1,9d7ad46d50d0,如何利用吸湿性铁水凝胶和叶脉结构设计高效的能量收集器？,Nature Communications,2025-06-06,2025,Energy Harvesting in Wireless Networks,153.63899623,76,https://doi.org/10.1038/s41467-025-60341-z,2041-1723,journal,1,"[L1] 吸湿性铁水凝胶的离子梯度与叶脉微通道结构协同作用可提升能量收集效率  
- 铁水凝胶在湿度变化下产生可逆的Fe2+/Fe3+氧化还原反应（关键实体），通过叶脉状分形微通道（关键实体）形成离子浓度梯度，驱动离子定向迁移（作用关系），其电能输出比传统平面结构提高50%以上（预期机制）  

[L2] 叶脉仿生层级孔隙可优化水凝胶的吸湿-解吸动力学  
- 三级分叉叶脉结构（关键实体）通过毛细作用力（作用关系）加速水分子在铁水凝胶中的渗透/蒸发循环（预期机制），使单位时间产电脉冲频率提升至自然蒸发的3倍  
- 铁水凝胶中配位不饱和的Fe-O位点（关键实体）与叶脉木质素残留物（关键实体）形成氢键网络（作用关系），将水分吸附焓降低15-20kJ/mol（预期机制）  

[L3] 氧化还原反应与机械形变的耦合效应可突破现有能量密度极限  
- 水凝胶溶胀/收缩过程中的晶格应变（关键实体）使Fe-O键长发生周期性变化（作用关系），通过压电效应将机械能转化为附加电势（预期机制）  
- 叶脉主脉/侧脉的刚度梯度（关键实体）诱导非对称应力分布（作用关系），产生0.5-1.2V的额外界面电势差（预期机制）",ok,
doubao-pro-32k-241215,doubao-pro-32k-241215-L1,L1,f4465d25f7c9,如何通过单原子催化剂设计突破类芬顿催化中活性与稳定性的权衡？,Nature Communications,2025-01-02,2025,Electrocatalysts for Energy Conversion,93.87822721,96,https://doi.org/10.1038/s41467-024-55622-y,2041-1723,journal,0,,error,"LLM 网关错误 (HTTP 503): Error code: 503 - {'error': {'message': '当前分组 企业用户 下对于模型 doubao-pro-32k-241215 计费模式 [按量计费] 无可用渠道 (request id: 2026041316354264475729904653209)', 'type': 'shell_api_error'}}"
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125-L1,L1,f4465d25f7c9,如何通过单原子催化剂设计突破类芬顿催化中活性与稳定性的权衡？,Nature Communications,2025-01-02,2025,Electrocatalysts for Energy Conversion,93.87822721,96,https://doi.org/10.1038/s41467-024-55622-y,2041-1723,journal,1,"[L1] 通过调节纳米岛的形态和尺寸，可以优化钴单原子催化剂在类芬顿反应中的催化活性和稳定性。假设较小的纳米岛能够提供更高的比表面积，从而增强催化剂的活性，同时保持良好的结构稳定性。

[L2] 在钴单原子催化剂中引入不同的配体或掺杂元素，可以调节其电子结构，从而提高其在类芬顿反应中的催化效率。假设特定的掺杂元素能够增强钴原子的氧化还原能力，进而提升反应速率。

[L3] 通过控制催化剂的合成条件（如温度、pH值和反应时间），可以实现对钴单原子催化剂的微观结构调控，进而影响其在类芬顿反应中的活性与稳定性。假设在特定的合成条件下，能够形成更为均匀的单原子分布，从而提高催化剂的整体性能。",ok,
gpt-3.5-turbo-0125,gpt-3.5-turbo-0125-L1,L1,b5d9e2f1eeaf,如何提升中红外光电探测器的探测率与响应速度至理论极限？,Nature Communications,2025-01-10,2025,Advanced Semiconductor Detectors and Materials,163.74682493,81,https://doi.org/10.1038/s41467-025-55887-x,2041-1723,journal,1,"[L1] 在垂直传输通道的范德瓦尔斯异质结构中，增加界面层的数量可以提高载流子迁移率，从而提升中红外光电探测器的探测率。

[L2] 通过优化异质结构中各层材料的带隙和能带对齐，可以增强光吸收效率，进而提高中红外光电探测器的响应速度。

[L3] 引入外部电场以调节载流子浓度和分布，可以实现对中红外光电探测器的动态响应调节，从而在不同光照条件下达到理论极限的探测率与响应速度。",ok,
